Time,Residential_Heating,Residential_Cooling,Residential_DHW,Office_Heating,Office_Cooling,Office_DHW,community_center_Heating,community_center_Cooling,community_center_DHW,Retail_Heating,Retail_Cooling,Retail_DHW,Grocery_Heating,Grocery_Cooling,Grocery_DHW,Hotel_Heating,Hotel_Cooling,Hotel_DHW
 08/15  24:00:00,0,3.74E-06,0.000294591,0,0,0.000173397,0.00132914,0.000195128,0,0,0,6.64E-05,0,0.000176184,0,0,0.003270477,0.000353863
 08/16  01:00:00,0,0,0.000293842,0,0,5.14E-05,0.001322197,0.00019493,0,0,0,0,0,0,0,0,0.002852859,0.000214372
 08/16  02:00:00,0,0,0.000122236,0,0,5.14E-05,0.001341698,0.000194502,0,0,0,0,0,0,0,0,0.002568089,0.000214135
 08/16  03:00:00,0,0,0.000244456,0,0,5.14E-05,0.001596864,0.000193478,0,0,0,0.000105416,0,0,0,0,0.002363232,0.000214114
 08/16  04:00:00,0,0,0.000195829,0,0,5.14E-05,0.001302797,0.000103666,0,0,0,5.27E-05,0,0,0,0,0.002222134,0.000216315
 08/16  05:00:00,0,0,0.000745906,0,0,5.14E-05,0.00131661,7.28E-05,0,0,0,5.27E-05,0,0,0,0,0.0022156,0.000447315
 08/16  06:00:00,0,0,0.00199627,0,0,5.14E-05,0.002013389,0.003330825,4.30E-05,0,0,0,0,0,0,0,0.003209801,0.000711803
 08/16  07:00:00,0,4.50E-06,0.002107544,6.08E-05,0,0.00249177,0.002113055,0.003817642,0.000248332,0.000129726,0,5.28E-05,0.001533597,0.001179177,0,1.33E-06,0.003815906,0.001384436
 08/16  08:00:00,0,9.63E-05,0.00205515,0.00103003,0.002333762,0.002697278,0.001737969,0.00405307,0.000248332,0.000123276,2.72E-06,0.000105861,0.000730645,0.002645279,0,0,0.003470562,0.002464742
 08/16  09:00:00,0,0.00043854,0.0018274,0.00046925,0.004685173,0.002979852,0.003288588,0.005782733,0.000165554,0.000148518,3.37E-06,5.29E-05,8.59E-05,0.015540313,0,0,0.001474414,0.002382093
 08/16  10:00:00,0,0.000912733,0.001667621,0,0.005577865,0.001836721,0.003249891,0.008891163,0.000165554,0,1.93E-05,0.000210172,0,0.020134951,0,0,0.001450682,0.00212913
